pname,pdesc,Upc,Sku,Price,Uom,Pack,pcat,pcat1,pcat2,country,region
ARKANSAS APPLEJACK BLACK                                    ,ARKANSAS APPLEJACK BLACK,104601234567893,10016,49.99,750 M,1,BRANDY                   , , , , 
M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,011034410031   ,10018,14.99,1.5 L,1,VERMOUTH                 , , , , 
M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,011034410055   ,10019,9.99,750 M,1,VERMOUTH                 , , , , 
M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,011034410079   ,10020,6.99,375 M,1,PINTS                    , , , , 
M & R DRY VERMOUTH                                          ,M & R DRY VERMOUTH,011034420030   ,10021,14.99,1.5 L,1,VERMOUTH                 , , , , 
M & R DRY VERMOUTH                                          ,M & R DRY VERMOUTH,011034420054   ,10022,9.99,750 M,1,VERMOUTH                 , , , , 
MARTINI & ROSSI ASTI SPUMANTE                               ,MARTINI & ROSSI ASTI SPUMANTE,011034500053   ,10023,14.97,750 M,1,IMPORTED - ITALY         , , , , 
MARTINI & ROSSI PROSECCO                                    ,MARTINI & ROSSI PROSECCO,011034501005   ,10024,14.99,750 M,1,IMPORTED - ITALY         , , , , 
M & R - APERITIF                                            ,M & R - APERITIF,011034981159   ,10026,16.99,750 M,1,VERMOUTH                 , , , , 
PYRAMID RED 100                                             ,PYRAMID RED 100,01140800       ,10029,10.63,PK   ,1,CIG TOB                  , , , , 
PYRAMID RED                                                 ,PYRAMID RED,01149209       ,10030,10.63,PK   ,1,CIG TOB                  , , , , 
LOUIS BOUILLOT - BRUT                                       ,LOUIS BOUILLOT - BRUT,011699008437   ,10031,26.99,750 M,1,IMPORTED - FRANCE        , , , , 
LOUIS BOUILLOT - ROSE                                       ,LOUIS BOUILLOT - ROSE,011699009243   ,10032,29.99,750 M,1,IMPORTED - FRANCE        , , , , 
OCEAN SPRAY - CRAN GRAPE                                    ,OCEAN SPRAY - CRAN GRAPE,012000021381   ,10033,3.25,15.2 ,1,JUICE                    , , , , 
OCEAN SPRAY OJ                                              ,OCEAN SPRAY OJ,012000071744   ,10034,2.99,15.2 ,1,JUICE                    , , , , 
DOLE - APPLE JUICE20                                        ,DOLE - APPLE JUICE20,012000071751   ,10035,2.99,15.2 ,1,JUICE                    , , , , 
CAMEL - BLUE 99 BX                                          ,CAMEL - BLUE 99 BX,012300200608   ,10041,13.2,PK   ,1,CIG TOB                  , , , , 
19 CRIMES - RED BLEND                                       ,19 CRIMES - RED BLEND,012354000995   ,10043,10.99,750 M,1,IMPORTED - AUSTRALIA     , , , , 
19 CRIMES - CABERNET SAUVIGNON                              ,19 CRIMES - CABERNET SAUVIGNON,012354001350   ,10044,10.99,750 M,1,IMPORTED - AUSTRALIA     , , , , 
19 CRIMES - THE WARDEN RED BLE                              ,19 CRIMES - THE WARDEN RED BLE,012354001602   ,10045,14.99,750 M,1,IMPORTED - AUSTRALIA     , , , , 
19 CRIMES - CALI RED                                        ,19 CRIMES - CALI RED,012354004290   ,10050,14.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
DENTYNE ICE PEPPERMINT                                      ,DENTYNE ICE PEPPERMINT,012546312554   ,10053,1.79,EACH ,1,SNACKS                   , , , , 
TRIDENT ORIGINAL                                            ,TRIDENT ORIGINAL,012546612296   ,10056,2.25,EACH ,1,SNACKS                   , , , , 
TRIDENT SPEARMINT                                           ,TRIDENT SPEARMINT,012546615310   ,10057,2.25,EACH ,1,SNACKS                   , , , , 
QUADY ELECTRA MOSCATO                                       ,QUADY ELECTRA MOSCATO,013022000125   ,10060,8.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
WOODCHUCK - PEARSECCO                                       ,WOODCHUCK - PEARSECCO,014974210020   ,10065,12.99,12 OZ,1,CIDER                    , , , , 
FRONTO KING - ONE CIGAR                                     ,FRONTO KING - ONE CIGAR,016027641768   ,10072,5.64,PK   ,1,TOBACCO                  , , , , 
ROSE'S LIME JUICE                                           ,ROSE'S LIME JUICE,01660433       ,10077,4.99,12 OZ,1,JUICE                    , , , , 
ROSE'S GRENADINE                                            ,ROSE'S GRENADINE,01660530       ,10078,4.99,12 OZ,1,NON - ALCOHOL MIXER      , , , , 
DE LOACH - PINOT NOIR                                       ,DE LOACH - PINOT NOIR,016697006669   ,10079,10.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
CAYMUS NAPA CABERNET SAUVIGNON                              ,CAYMUS NAPA CABERNET SAUVIGNON,017224712107   ,10085,89.98,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
CONUNDRUM - WHITE                                           ,CONUNDRUM - WHITE,017224750123   ,10086,14.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
CONUNDRUM - RED                                             ,CONUNDRUM - RED,017224760122   ,10087,22.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
BUDWEISER CN                                                ,BUDWEISER CN,01801828       ,10089,10.99,16 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT CN                                                ,BUD LIGHT CN,01811524       ,10090,10.99,16 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT MINI NR                                           ,BUD LIGHT MINI NR,181912801      ,10092,7.99,7 OZ ,24,DOMESTIC BEER            , , , , 
MICHELOB ULTRA BTL                                          ,MICHELOB ULTRA BTL,018200003325   ,10093,10.99,12 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT 12PK BTL                                          ,BUD LIGHT 12PK BTL,018200007699   ,10094,14.39,12 OZ,24,DOMESTIC BEER            , , , , 
BUDWEISER 12PK BTL                                          ,BUDWEISER 12PK BTL,018200007712   ,10095,14.39,12 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT BTL                                               ,BUD LIGHT BTL,018200008337   ,10096,9.69,12 OZ,24,DOMESTIC BEER            , , , , 
BUDWEISER BTL                                               ,BUDWEISER BTL,018200008344   ,10097,9.69,12 OZ,24,DOMESTIC BEER            , , , , 
MICHELOB ULTRA 12PK BTL                                     ,MICHELOB ULTRA 12PK BTL,018200059902   ,10098,16.99,12 OZ,24,DOMESTIC BEER            , , , , 
MICHELOB ULTRA 12PK CN                                      ,MICHELOB ULTRA 12PK CN,018200069918   ,10099,16.99,12 OZ,24,DOMESTIC BEER            , , , , 
BUDWEISER CN                                                ,BUDWEISER CN,018200110306   ,10100,25.99,12 OZ,30,30 PACK BEER             , , , , 
BUDWEISER 12PK CN                                           ,BUDWEISER 12PK CN,018200110474   ,10101,14.39,12 OZ,24,DOMESTIC BEER            , , , , 
BUDWEISER 18PK CN                                           ,BUDWEISER 18PK CN,018200112188   ,10102,17.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUDWEISER 18PK BTL                                          ,BUDWEISER 18PK BTL,018200113086   ,10103,17.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUDWEISER BIG RED                                           ,BUDWEISER BIG RED,018200113499   ,10104,24.99,12 OZ,24,24 PACK BEER             , , , , 
BUDWEISER CN                                                ,BUDWEISER CN,01801624       ,10105,8.19,12 OZ,36,36 PACK BEER - NEW       , , , , 
SHOCKTOP BELGIAN WHITE                                      ,SHOCKTOP BELGIAN WHITE,018200139864   ,10106,11.69,12 OZ,1,CRAFT / MICRO            , , , , 
BUD LIGHT LIME NR                                           ,BUD LIGHT LIME NR,018200149900   ,10107,17.39,12 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT LIME NR                                           ,BUD LIGHT LIME NR,018200149917   ,10108,11.69,12 OZ,24,DOMESTIC BEER            , , , , 
NATURAL LIGHT CN                                            ,NATURAL LIGHT CN,018200150302   ,10109,19.99,12 OZ,30,30 PACK BEER             , , , , 
NATURAL LIGHT CN                                            ,NATURAL LIGHT CN,018200152184   ,10110,13.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUD LIGHT LIME CN                                           ,BUD LIGHT LIME CN,018200159831   ,10111,17.39,12 OZ,24,DOMESTIC BEER            , , , , 
MICHELOB ULTRA - LIME CACTUS                                ,MICHELOB ULTRA - LIME CACTUS,018200169847   ,10113,19.39,12 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT - PLATINUM BTL                                    ,BUD LIGHT - PLATINUM BTL,018200189920   ,10115,16.99,12 OZ,24,DOMESTIC BEER            , , , , 
BUDWEISER - ZERO                                            ,BUDWEISER - ZERO,018200200380   ,10117,16.99,12 OZ,1,NON-ALCOHOLIC            , , , , 
MICHELOB ULTRA ALM                                          ,MICHELOB ULTRA ALM,018200200595   ,10118,19.99,16 OZ,24,DOMESTIC BEER            , , , , 
MICHELOB ULTRA PURE GOLD                                    ,MICHELOB ULTRA PURE GOLD,018200201448   ,10121,19.39,12 OZ,24,DOMESTIC BEER            , , , , 
BL SELTZER - VARIETY                                        ,BL SELTZER - VARIETY,018200202087   ,10123,17.39,12 OZ,1,HARD SELTZER             , , , , 
MICH ULTRA - ORGANIC PACK                                   ,MICH ULTRA - ORGANIC PACK,018200202582   ,10128,19.39,12 OZ,24,DOMESTIC BEER            , , , , 
NUTRL - PINEAPPLE                                           ,NUTRL - PINEAPPLE,018200202988   ,10134,10.99,200 M,1,RTD COCKTAILS            , , , , 
NUTRL - RASPBERRY                                           ,NUTRL - RASPBERRY,018200202995   ,10135,10.99,200 M,1,RTD COCKTAILS            , , , , 
BUD LIGHT - NEXT                                            ,BUD LIGHT - NEXT,018200203275   ,10138,16.99,12 OZ,24,DOMESTIC BEER            , , , , 
BL SETLZER - HARD SODA                                      ,BL SETLZER - HARD SODA,018200203336   ,10139,18.39,12 OZ,1,HARD SELTZER             , , , , 
NUTRL - LEMONADE VARIETY                                    ,NUTRL - LEMONADE VARIETY,018200203398   ,10140,16.99,200 M,1,RTD COCKTAILS            , , , , 
NUTRL - VODKA SELTZER VARIETY                               ,NUTRL - VODKA SELTZER VARIETY,018200203527   ,10141,16.99,200 M,1,RTD COCKTAILS            , , , , 
BUD LIGHT - PLATINUM CN                                     ,BUD LIGHT - PLATINUM CN,018200209949   ,10143,16.99,12 OZ,24,DOMESTIC BEER            , , , , 
BUDWEISER CN                                                ,BUDWEISER CN,018200250002   ,10146,3.2,25 OZ,15,DOMESTIC BEER            , , , , 
BUD LIGHT CN                                                ,BUD LIGHT CN,018200250019   ,10147,3.2,25 OZ,15,DOMESTIC BEER            , , , , 
NATURAL LIGHT CN                                            ,NATURAL LIGHT CN,018200250026   ,10148,1.95,25 OZ,15,DOMESTIC BEER            , , , , 
NATURAL ICE                                                 ,NATURAL ICE,018200250088   ,10149,1.95,25 OZ,15,DOMESTIC BEER            , , , , 
MICHELOB ULTRA CN                                           ,MICHELOB ULTRA CN,018200250101   ,10150,3.7,25 OZ,15,DOMESTIC BEER            , , , , 
BL LIME A RITA                                              ,BL LIME A RITA,018200250149   ,10152,3.45,25 OZ,12,DOMESTIC BEER            , , , , 
BL STRAWBE RITA                                             ,BL STRAWBE RITA,018200255052   ,10154,3.45,25 OZ,12,DOMESTIC BEER            , , , , 
BL MANGO RITA                                               ,BL MANGO RITA,018200255335   ,10156,3.45,25 OZ,12,DOMESTIC BEER            , , , , 
BL RITA - WATERMELON CN                                     ,BL RITA - WATERMELON CN,018200259081   ,10159,3.45,25 OZ,12,DOMESTIC BEER            , , , , 
BUD LIGHT - ORANGE                                          ,BUD LIGHT - ORANGE,018200259104   ,10160,3.95,25 OZ,15,DOMESTIC BEER            , , , , 
BUD LIGHT - PLATINUM SELTZER                                ,BUD LIGHT - PLATINUM SELTZER,018200261299   ,10166,4.45,25 OZ,1,HARD SELTZER             , , , , 
NATURAL ICE CN                                              ,NATURAL ICE CN,018200270307   ,10171,19.99,12 OZ,30,30 PACK BEER             , , , , 
NATURAL ICE CN                                              ,NATURAL ICE CN,018200272189   ,10172,13.99,12 OZ,18,DOMESTIC BEER            , , , , 
SHOCKTOP CN                                                 ,SHOCKTOP CN,018200281563   ,10173,17.99,12 OZ,30,30 PACK BEER             , , , , 
BUD LIGHT CN                                                ,BUD LIGHT CN,018200530302   ,10178,25.99,12 OZ,30,30 PACK BEER             , , , , 
BUD LIGHT 12PK CN                                           ,BUD LIGHT 12PK CN,018200530470   ,10179,14.39,12 OZ,24,DOMESTIC BEER            , , , , 
BUD LIGHT 18PK CN                                           ,BUD LIGHT 18PK CN,018200532184   ,10181,17.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUD LIGHT 18PK BTL                                          ,BUD LIGHT 18PK BTL,018200533082   ,10182,17.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUD LIGHT BIG BLUE                                          ,BUD LIGHT BIG BLUE,018200533495   ,10183,24.99,12 OZ,24,24 PACK BEER             , , , , 
BUD LIGHT CN                                                ,BUD LIGHT CN,018200537165   ,10184,29.99,12 OZ,36,36 PACK BEER - NEW       , , , , 
BUSCH CN                                                    ,BUSCH CN,018200610301   ,10185,19.99,12 OZ,30,30 PACK BEER             , , , , 
ODOULS CAN                                                  ,ODOULS CAN,018200790478   ,10187,15.39,12 OZ,1,NON-ALCOHOLIC            , , , , 
BUSCH LIGHT CN                                              ,BUSCH LIGHT CN,018200860317   ,10188,19.99,12 OZ,30,30 PACK BEER             , , , , 
BUD LIGHT - PLATINUM CN                                     ,BUD LIGHT - PLATINUM CN,018200960284   ,10190,22.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUD LIGHT - PLATINUM BTL                                    ,BUD LIGHT - PLATINUM BTL,018200960444   ,10191,22.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUDWEISER SELECT 55                                         ,BUDWEISER SELECT 55,018200962028   ,10192,29.99,12 OZ,30,30 PACK BEER             , , , , 
BUD LIGHT - LIME                                            ,BUD LIGHT - LIME,018200962929   ,10193,22.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUD LIGHT - LIME CN                                         ,BUD LIGHT - LIME CN,018200962943   ,10194,22.99,12 OZ,18,DOMESTIC BEER            , , , , 
MICHELOB ULTRA BTL                                          ,MICHELOB ULTRA BTL,018200966248   ,10195,18.99,12 OZ,18,DOMESTIC BEER            , , , , 
BUDWEISER SELECT                                            ,BUDWEISER SELECT,018200966606   ,10196,29.99,12 OZ,30,30 PACK BEER             , , , , 
MICHELOB ULTRA CN                                           ,MICHELOB ULTRA CN,018200967214   ,10197,18.99,12 OZ,18,DOMESTIC BEER            , , , , 
MICHELOB ULTRA LOOSE                                        ,MICHELOB ULTRA LOOSE,018200967283   ,10198,25.99,12 OZ,24,24 PACK BEER             , , , , 
ODOULS NA BTL HLDR                                          ,ODOULS NA BTL HLDR,01820124       ,10200,8.69,12 OZ,1,NON-ALCOHOLIC            , , , , 
BAREFOOT CHARDONNAY                                         ,BAREFOOT CHARDONNAY,018341151053   ,10201,11.99,1.5 L,1,FAMILY WINE              , , , , 
BAREFOOT MERLOT                                             ,BAREFOOT MERLOT,018341151107   ,10202,11.99,1.5 L,1,FAMILY WINE              , , , , 
BAREFOOT CHARDONNAY                                         ,BAREFOOT CHARDONNAY,018341751055   ,10204,7.49,750 M,1,FAMILY WINE              , , , , 
BAREFOOT MERLOT                                             ,BAREFOOT MERLOT,018341751109   ,10205,7.49,750 M,1,FAMILY WINE              , , , , 
RED BRIDGE                                                  ,RED BRIDGE,01872923       ,10208,10.99,12 OZ,24,GLUTEN FREE BEER         , , , , 
LANDSHARK LAGER                                             ,LANDSHARK LAGER,01877928       ,10209,11.99,12 OZ,24,DOMESTIC BEER            , , , , 
MICHELOB ULTRA LIME CACTUS                                  ,MICHELOB ULTRA LIME CACTUS,01879421       ,10210,11.99,12 OZ,24,DOMESTIC BEER            , , , , 
LONE PINE - OH J DOUBLE IPA                                 ,LONE PINE - OH J DOUBLE IPA,019962615535   ,10218,19.79,16 OZ,1,CRAFT / MICRO            , , , , 
BEER'D - DOGS & BOAT                                        ,BEER'D - DOGS & BOAT,019962888137   ,10220,18.99,16 OZ,1,CRAFT / MICRO            , , , , 
PAUL MASSON GRANDE AMBER VS                                 ,PAUL MASSON GRANDE AMBER VS,021296006019   ,10228,12.99,750 M,1,BRANDY                   , , , , 
PAUL MASSON BRANDY                                          ,PAUL MASSON BRANDY,021296006064   ,10229,8.49,375 M,1,PINTS                    , , , , 
PAUL MASSON VIN ROSE                                        ,PAUL MASSON VIN ROSE,021296604994   ,10231,11.99,3 LT ,1,DOMESTIC - CALIFORNIA    , , , , 
PAUL MASSON MANGO                                           ,PAUL MASSON MANGO,021296620314   ,10234,1.25,50 ML,1,NIPS                     , , , , 
CASTLE ISLAND - CANDLEPIN                                   ,CASTLE ISLAND - CANDLEPIN,021808581805   ,10235,16.79,16 OZ,1,CRAFT / MICRO            , , , , 
CASTLE ISLAND - KEEPER                                      ,CASTLE ISLAND - KEEPER,021808581850   ,10236,16.79,16 OZ,1,CRAFT / MICRO            , , , , 
CASTLE ISLAND - HIDEF DOUBLE I                              ,CASTLE ISLAND - HIDEF DOUBLE I,021808583007   ,10237,17.79,16 OZ,1,CRAFT / MICRO            , , , , 
CA MONTINI - PINOT GRIGIO                                   ,CA MONTINI - PINOT GRIGIO,021893786307   ,10239,10.97,750 M,1,IMPORTED - ITALY         , , , , 
ALTOIDS PEPPERMINT                                          ,ALTOIDS PEPPERMINT,022000159335   ,10242,3.69,EACH ,1,CANDY/MINTS              , , , , 
PABST BLUE RIBBON                                           ,PABST BLUE RIBBON,02200419       ,10244,2.45,24 OZ,12,DOMESTIC BEER            , , , , 
