StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit,Discountable
10128,#104601234567893,5,#10016,750 M,1,ARKANSAS APPLEJACK BLACK                                    ,ARKANSAS APPLEJACK BLACK,49.99,0.0000, , ,0.0625, , , , , ,,200,0,0
10128,#011034410031   ,5,#10018,1.5 L,1,M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,14.99,0.0000, , ,0.0625, , , , , ,,62.34,0,0
10128,#011034410055   ,0,#10019,750 M,1,M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,9.99,0.0000, , ,0.0625, , , , , ,,45.14,0,0
10128,#011034410079   ,22,#10020,375 M,1,M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,6.99,0.0000, , ,0.0625, , , , , ,,90.96,0,0
10128,#011034420030   ,8,#10021,1.5 L,1,M & R DRY VERMOUTH                                          ,M & R DRY VERMOUTH,14.99,0.0000, , ,0.0625, , , , , ,,64.34,0,0
10128,#011034420054   ,5,#10022,750 M,1,M & R DRY VERMOUTH                                          ,M & R DRY VERMOUTH,9.99,0.0000, , ,0.0625, , , , , ,,46.14,0,0
10128,#011034500053   ,32,#10023,750 M,1,MARTINI & ROSSI ASTI SPUMANTE                               ,MARTINI & ROSSI ASTI SPUMANTE,14.97,0.0000, , ,0.0625, , , , , ,,121.88,0,1
10128,#011034501005   ,0,#10024,750 M,1,MARTINI & ROSSI PROSECCO                                    ,MARTINI & ROSSI PROSECCO,14.99,0.0000, , ,0.0625, , , , , ,,120,0,0
10128,#011034981159   ,4,#10026,750 M,1,M & R - APERITIF                                            ,M & R - APERITIF,16.99,0.0000, , ,0.0625, , , , , ,,72,0,0
10128,#01140800       ,7,#10029,PK   ,1,PYRAMID RED 100                                             ,PYRAMID RED 100,10.63,0.0000, , ,0.0625, , , , , ,,82.99,0,0
10128,#01149209       ,4,#10030,PK   ,1,PYRAMID RED                                                 ,PYRAMID RED,10.63,0.0000, , ,0.0625, , , , , ,,86.07,0,0
10128,#011699008437   ,4,#10031,750 M,1,LOUIS BOUILLOT - BRUT                                       ,LOUIS BOUILLOT - BRUT,26.99,0.0000, , ,0.0625, , , , , ,,168,0,1
10128,#011699009243   ,8,#10032,750 M,1,LOUIS BOUILLOT - ROSE                                       ,LOUIS BOUILLOT - ROSE,29.99,0.0000, , ,0.0625, , , , , ,,216,0,1
10128,#012000021381   ,7,#10033,15.2 ,1,OCEAN SPRAY - CRAN GRAPE                                    ,OCEAN SPRAY - CRAN GRAPE,3.25,0.0000, , ,0.0625, , , , , ,,23.85,0,0
10128,#012000071744   ,1,#10034,15.2 ,1,OCEAN SPRAY OJ                                              ,OCEAN SPRAY OJ,2.99,0.0000, , ,0.0625, , , , , ,,24.35,0,0
10128,#012000071751   ,8,#10035,15.2 ,1,DOLE - APPLE JUICE20                                        ,DOLE - APPLE JUICE20,2.99,0.0000, , ,0.0625, , , , , ,,24.35,0,0
