StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,TaxLevel,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit
10128,#104601234567893,5,#10016,750 M,1,ARKANSAS APPLEJACK BLACK                                    ,ARKANSAS APPLEJACK BLACK,49.990,0.0000, , ,0.04000,1, , , , , ,,200,0
10128,#011034410031   ,5,#10018,1.5 L,1,M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,14.990,0.0000, , ,0.04000,1, , , , , ,,62.34,0
10128,#011034410055   ,0,#10019,750 M,1,M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,9.990,0.0000, , ,0.04000,1, , , , , ,,45.14,0
10128,#011034410079   ,22,#10020,375 M,1,M & R SWEET VERMOUTH                                        ,M & R SWEET VERMOUTH,6.990,0.0000, , ,0.04000,1, , , , , ,,90.96,0
10128,#011034420030   ,8,#10021,1.5 L,1,M & R DRY VERMOUTH                                          ,M & R DRY VERMOUTH,14.990,0.0000, , ,0.04000,1, , , , , ,,64.34,0
10128,#011034420054   ,5,#10022,750 M,1,M & R DRY VERMOUTH                                          ,M & R DRY VERMOUTH,9.990,0.0000, , ,0.04000,1, , , , , ,,46.14,0
10128,#011034500053   ,32,#10023,750 M,1,MARTINI & ROSSI ASTI SPUMANTE                               ,MARTINI & ROSSI ASTI SPUMANTE,14.970,0.0000, , ,0.04000,1, , , , , ,,121.88,0
10128,#011034501005   ,0,#10024,750 M,1,MARTINI & ROSSI PROSECCO                                    ,MARTINI & ROSSI PROSECCO,14.990,0.0000, , ,0.04000,1, , , , , ,,120,0
10128,#011034981159   ,4,#10026,750 M,1,M & R - APERITIF                                            ,M & R - APERITIF,16.990,0.0000, , ,0.04000,1, , , , , ,,72,0
10128,#011699008437   ,4,#10031,750 M,1,LOUIS BOUILLOT - BRUT                                       ,LOUIS BOUILLOT - BRUT,26.990,0.0000, , ,0.04000,1, , , , , ,,168,0
10128,#011699009243   ,8,#10032,750 M,1,LOUIS BOUILLOT - ROSE                                       ,LOUIS BOUILLOT - ROSE,29.990,0.0000, , ,0.04000,1, , , , , ,,216,0
10128,#012000021381   ,7,#10033,15.2 ,1,OCEAN SPRAY - CRAN GRAPE                                    ,OCEAN SPRAY - CRAN GRAPE,3.250,0.0000, , ,0.04000,3, , , , , ,,23.85,0
10128,#012000071744   ,1,#10034,15.2 ,1,OCEAN SPRAY OJ                                              ,OCEAN SPRAY OJ,2.990,0.0000, , ,0.04000,3, , , , , ,,24.35,0
10128,#012000071751   ,8,#10035,15.2 ,1,DOLE - APPLE JUICE20                                        ,DOLE - APPLE JUICE20,2.990,0.0000, , ,0.04000,3, , , , , ,,24.35,0
10128,#012354000995   ,15,#10043,750 M,1,19 CRIMES - RED BLEND                                       ,19 CRIMES - RED BLEND,10.990,0.0000, , ,0.04000,1, , , , , ,,91.43,0
10128,#012354001350   ,3,#10044,750 M,1,19 CRIMES - CABERNET SAUVIGNON                              ,19 CRIMES - CABERNET SAUVIGNON,10.990,0.0000, , ,0.04000,1, , , , , ,,82.74,0
10128,#012354001602   ,14,#10045,750 M,1,19 CRIMES - THE WARDEN RED BLE                              ,19 CRIMES - THE WARDEN RED BLE,14.990,0.0000, , ,0.04000,1, , , , , ,,40,0
10128,#012354004290   ,11,#10050,750 M,1,19 CRIMES - CALI RED                                        ,19 CRIMES - CALI RED,14.990,0.0000, , ,0.04000,1, , , , , ,,104,0
10128,#013022000125   ,4,#10060,750 M,1,QUADY ELECTRA MOSCATO                                       ,QUADY ELECTRA MOSCATO,8.990,0.0000, , ,0.04000,1, , , , , ,,98,0
10128,#016027641768   ,5,#10072,PK   ,1,FRONTO KING - ONE CIGAR                                     ,FRONTO KING - ONE CIGAR,5.640,0.0000, , ,0,2, , , , , ,,3,0
10128,#01660433       ,14,#10077,12 OZ,1,ROSE'S LIME JUICE                                           ,ROSE'S LIME JUICE,4.990,0.0000, , ,0.04000,1, , , , , ,,12.27,0
10128,#016697006669   ,22,#10079,750 M,1,DE LOACH - PINOT NOIR                                       ,DE LOACH - PINOT NOIR,10.990,0.0000, , ,0.04000,1, , , , , ,,80,0
10128,#017224712107   ,34,#10085,750 M,1,CAYMUS NAPA CABERNET SAUVIGNON                              ,CAYMUS NAPA CABERNET SAUVIGNON,89.980,0.0000, , ,0.04000,1, , , , , ,,756,0
10128,#017224750123   ,12,#10086,750 M,1,CONUNDRUM - WHITE                                           ,CONUNDRUM - WHITE,14.990,0.0000, , ,0.04000,1, , , , , ,,120,0
10128,#017224760122   ,1,#10087,750 M,1,CONUNDRUM - RED                                             ,CONUNDRUM - RED,22.990,0.0000, , ,0.04000,1, , , , , ,,184,0
10128,#01801828       ,1,#10089,16 OZ,24,BUDWEISER CN                                                ,BUDWEISER CN,10.990,0.0000, , ,0.04000,1,#101801828      , , , , ,,31.6,1.20
10128,#01811524       ,1,#10090,16 OZ,24,BUD LIGHT CN                                                ,BUD LIGHT CN,10.990,0.0000, , ,0.04000,1,#101811524      , , , , ,,31.6,1.20
10128,#181912801      ,4,#10092,7 OZ ,24,BUD LIGHT MINI NR                                           ,BUD LIGHT MINI NR,7.990,0.0000, , ,0.04000,1,#018200007736   , , , , ,,20.85,1.20
10128,#018200003325   ,3,#10093,12 OZ,24,MICHELOB ULTRA BTL                                          ,MICHELOB ULTRA BTL,10.990,0.0000, , ,0.04000,1,#018200059896   ,#01833225       , , , ,,30.75,1.20
10128,#018200007699   ,8,#10094,12 OZ,24,BUD LIGHT 12PK BTL                                          ,BUD LIGHT 12PK BTL,14.390,0.0000, , ,0.04000,1, , , , , ,,22.78,1.20
10128,#018200007712   ,2,#10095,12 OZ,24,BUDWEISER 12PK BTL                                          ,BUDWEISER 12PK BTL,14.390,0.0000, , ,0.04000,1, , , , , ,,22.49,1.20
10128,#018200008337   ,2,#10096,12 OZ,24,BUD LIGHT BTL                                               ,BUD LIGHT BTL,9.690,0.0000, , ,0.04000,1,#0181692701     ,#01816927       , , , ,,27.21,1.20
10128,#018200008344   ,0,#10097,12 OZ,24,BUDWEISER BTL                                               ,BUDWEISER BTL,9.690,0.0000, , ,0.04000,1, , , , , ,,27.2,1.20
10128,#018200059902   ,5,#10098,12 OZ,24,MICHELOB ULTRA 12PK BTL                                     ,MICHELOB ULTRA 12PK BTL,16.990,0.0000, , ,0.04000,1, , , , , ,,24.78,1.20
10128,#018200069918   ,9,#10099,12 OZ,24,MICHELOB ULTRA 12PK CN                                      ,MICHELOB ULTRA 12PK CN,16.990,0.0000, , ,0.04000,1, , , , , ,,24.7,1.20
10128,#018200110306   ,80,#10100,12 OZ,30,BUDWEISER CN                                                ,BUDWEISER CN,25.990,0.0000, , ,0.04000,1, , , , , ,,23.7,1.50
10128,#018200110474   ,5,#10101,12 OZ,24,BUDWEISER 12PK CN                                           ,BUDWEISER 12PK CN,14.390,0.0000, , ,0.04000,1, , , , , ,,22.4,1.20
10128,#018200112188   ,14,#10102,12 OZ,18,BUDWEISER 18PK CN                                           ,BUDWEISER 18PK CN,17.990,0.0000, , ,0.04000,1, , , , , ,,15.6,0.90
10128,#018200113086   ,5,#10103,12 OZ,18,BUDWEISER 18PK BTL                                          ,BUDWEISER 18PK BTL,17.990,0.0000, , ,0.04000,1, , , , , ,,15.6,0.90
10128,#018200113499   ,3,#10104,12 OZ,24,BUDWEISER BIG RED                                           ,BUDWEISER BIG RED,24.990,0.0000, , ,0.04000,1, , , , , ,,22.5,1.20
10128,#01801624       ,27,#10105,12 OZ,36,BUDWEISER CN                                                ,BUDWEISER CN,8.190,0.0000, , ,0.04000,1,#018200117169   , , , , ,,27.5,1.80
10128,#018200149900   ,1,#10107,12 OZ,24,BUD LIGHT LIME NR                                           ,BUD LIGHT LIME NR,17.390,0.0000, , ,0.04000,1, , , , , ,,24.71,1.20
10128,#018200149917   ,1,#10108,12 OZ,24,BUD LIGHT LIME NR                                           ,BUD LIGHT LIME NR,11.690,0.0000, , ,0.04000,1, , , , , ,,29.95,1.20
10128,#018200150302   ,15,#10109,12 OZ,30,NATURAL LIGHT CN                                            ,NATURAL LIGHT CN,19.990,0.0000, , ,0.04000,1,#01803127       , , , , ,,17.04,1.50
10128,#018200152184   ,3,#10110,12 OZ,18,NATURAL LIGHT CN                                            ,NATURAL LIGHT CN,13.990,0.0000, , ,0.04000,1, , , , , ,,10.5,0.90
10128,#018200159831   ,1,#10111,12 OZ,24,BUD LIGHT LIME CN                                           ,BUD LIGHT LIME CN,17.390,0.0000, , ,0.04000,1, , , , , ,,24.98,1.20
10128,#018200169847   ,1,#10113,12 OZ,24,MICHELOB ULTRA - LIME CACTUS                                ,MICHELOB ULTRA - LIME CACTUS,19.390,0.0000, , ,0.04000,1,#01844920       , , , , ,,28.45,1.20
10128,#018200189920   ,2,#10115,12 OZ,24,BUD LIGHT - PLATINUM BTL                                    ,BUD LIGHT - PLATINUM BTL,16.990,0.0000, , ,0.04000,1, , , , , ,,24.7,1.20
10128,#018200200595   ,3,#10118,16 OZ,24,MICHELOB ULTRA ALM                                          ,MICHELOB ULTRA ALM,19.990,0.0000, , ,0.04000,1, , , , , ,,31.1,1.20
10128,#018200201448   ,1,#10121,12 OZ,24,MICHELOB ULTRA PURE GOLD                                    ,MICHELOB ULTRA PURE GOLD,19.390,0.0000, , ,0.04000,1, , , , , ,,28.45,1.20
10128,#018200202582   ,1,#10128,12 OZ,24,MICH ULTRA - ORGANIC PACK                                   ,MICH ULTRA - ORGANIC PACK,19.390,0.0000, , ,0.04000,1, , , , , ,,29.25,1.20
10128,#018200203275   ,2,#10138,12 OZ,24,BUD LIGHT - NEXT                                            ,BUD LIGHT - NEXT,16.990,0.0000, , ,0.04000,1, , , , , ,,25.5,1.20
10128,#018200209949   ,9,#10143,12 OZ,24,BUD LIGHT - PLATINUM CN                                     ,BUD LIGHT - PLATINUM CN,16.990,0.0000, , ,0.04000,1, , , , , ,,24.7,1.20
10128,#018200250002   ,4,#10146,25 OZ,15,BUDWEISER CN                                                ,BUDWEISER CN,3.20,0.0000, , ,0.04000,1, , , , , ,,32.4,0.75
10128,#018200250019   ,1,#10147,25 OZ,15,BUD LIGHT CN                                                ,BUD LIGHT CN,3.20,0.0000, , ,0.04000,1, , , , , ,,32.4,0.75
10128,#018200250026   ,4,#10148,25 OZ,15,NATURAL LIGHT CN                                            ,NATURAL LIGHT CN,1.950,0.0000, , ,0.04000,1, , , , , ,,13.13,0.75
10128,#018200250088   ,4,#10149,25 OZ,15,NATURAL ICE                                                 ,NATURAL ICE,1.950,0.0000, , ,0.04000,1, , , , , ,,13.13,0.75
