NOT NULL columns in CUS table
================================
ColumnName | DataType | ColumnSize
--------------------------------
customer | System.Int32 | 4
firstname | System.String | 30
lastname | System.String | 30
status | System.String | 8
street1 | System.String | 30
street2 | System.String | 30
city | System.String | 20
state | System.String | 2
zip | System.String | 10
contact | System.String | 45
phone | System.String | 18
fax | System.String | 18
modem | System.String | 18
startdate | System.DateTime | 6
taxcode | System.String | 6
terms | System.String | 3
shipvia | System.String | 3
statement | System.String | 1
crdlimit | System.Decimal | 8
balance | System.Decimal | 8
store | System.Int32 | 4
salesper | System.String | 3
clubcard | System.String | 20
clublist | System.String | 20
clubdisc | System.String | 3
altid | System.String | 20
types | System.String | 15
department | System.Int32 | 4
lstore | System.Int32 | 4
lreg | System.Int32 | 4
who | System.String | 3
tstamp | System.DateTime | 16
memo | System.String | 2147483647
storelevel | System.Int32 | 4
billto | System.Int32 | 4
wslicense | System.String | 16
wsexpire | System.DateTime | 6
wetdry | System.String | 1
taxid | System.String | 16
invoicemsg | System.String | 10
statementm | System.String | 10
territory | System.String | 3
filter | System.String | 1
email | System.String | 50
sflag | System.Boolean | 2
fcflag | System.Boolean | 2
printbal | System.Boolean | 2
cdate | System.DateTime | 6
scldate | System.DateTime | 6
fson | System.Boolean | 2
fscpts | System.Decimal | 19
fstpts | System.Decimal | 19
fsdlrval | System.Decimal | 19
fsdlrcrdts | System.Decimal | 19
creditcard | System.String | 16
expire | System.String | 4
cvv | System.String | 4
sent | System.Boolean | 2
wphone | System.String | 18
fsfactor | System.Decimal | 19
webcustid | System.Int32 | 4
